Test Name,Fail Reason,Result,Resolution,Assignee,Comment,
"Example.Tests.Class1.Test4","Assertion:   Expected: True   But was:  False ","Failed","Not Assigned","","",
"Example.Tests.Class2.Test2","Assertion: My warn message","Failed","Not Assigned","","",
"Example.Tests.Class2.Test3","Assertion: test failed.","Failed","Not Assigned","","",
"Example.Tests.Class2.Test3FailedWithoutMessage","Failed without any message. Please see logs on result page.","Failed","Not Assigned","","",
"Example.Tests.Class1.Test3","Test exceeded Timeout value of 1000ms","Failed","Not Assigned","","",
"Example.Tests.Class3.Test1","OneTimeSetUp: System.Exception : Setup exception.","Failed","Not Assigned","","",
"Example.Tests.Class3.Test2","OneTimeSetUp: System.Exception : Setup exception.","Failed","Not Assigned","","",
"Example.Tests.Class3.Test3","OneTimeSetUp: System.Exception : Setup exception.","Failed","Not Assigned","","",
"Example.Tests.FailedClass.Test1","OneTimeSetUp: System.Exception : Here is OneTimeSetup exception.","Failed","Not Assigned","","",
"Example.Tests.FailedClass.Test2","OneTimeSetUp: System.Exception : Here is OneTimeSetup exception.","Failed","Not Assigned","","",
"Example.Tests.InnerFolder.Class1.Test1","OneTimeSetUp: System.Exception : Assembly SetUpFixture exception.","Failed","Not Assigned","","",
"Example.Tests.InnerFolder.Class1.Test2","OneTimeSetUp: System.Exception : Assembly SetUpFixture exception.","Failed","Not Assigned","","",
"Example.Tests.Class2.IgnoredTest","My ignore reason","Not Executed","Not Assigned","","",
"Example.Tests.IgnoredClass.Test1","OneTimeSetUp: Ignore reason for suite","Not Executed","Not Assigned","","",
"Example.Tests.IgnoredClass.Test2","OneTimeSetUp: Ignore reason for suite","Not Executed","Not Assigned","","",
"Example.Tests.Class2.SyncTest","","Passed","","","",
"Example.Tests.Class2.Test1","","Passed","","","",
"Example.Tests.Class2.Test4","","Passed","","","",
"Example.Tests.Class2.TestWithTestCaseSource(0)","","Passed","","","",
"Example.Tests.Class2.TestWithTestCaseSource(1)","","Passed","","","",
"Example.Tests.Class2.TestWithTestCaseSource(2)","","Passed","","","",
"Example.Tests.Class1.AttachmentsAreOptional","","Passed","","","",
"Example.Tests.Class1.Test1","","Passed","","","",
"Example.Tests.Class1.Test2","","Passed","","","",
